iter	Passed	Remaining
412	3224	4582
413	3225	4565
414	3226	4548
415	3227	4531
416	3228	4514
417	3229	4497
418	3230	4480
419	3237	4470
420	3253	4474
421	3254	4457
422	3269	4459
423	3270	4442
424	3284	4443
425	3285	4427
426	3286	4410
427	3299	4409
428	3300	4393
429	3314	4394
430	3316	4378
431	3330	4378
432	3346	4381
433	3347	4365
434	3378	4387
435	3379	4371
436	3392	4371
437	3408	4373
438	3409	4357
439	3423	4357
440	3424	4341
441	3426	4325
442	3455	4344
443	3471	4347
444	3487	4349
445	3488	4333
446	3489	4317
447	3491	4301
448	3502	4298
449	3503	4282
450	3517	4281
451	3564	4321
452	3580	4322
453	3581	4307
454	3595	4306
455	3596	4290
456	3610	4290
457	3612	4274
458	3642	4293
459	3643	4277
460	3645	4261
461	3646	4246
462	3647	4230
463	3648	4214
464	3658	4208
465	3659	4193
466	3660	4178
467	3673	4176
468	3689	4177
469	3691	4162
470	3692	4147
471	3693	4131
472	3705	4128
473	3721	4129
474	3737	4130
475	3752	4131
476	3767	4131
477	3768	4115
478	3783	4115
479	3784	4100
480	3786	4085
481	3799	4083
482	3800	4068
483	3814	4066
484	3815	4051
485	3845	4067
486	3861	4067
487	3862	4052
488	3877	4051
489	3893	4051
490	3907	4051
491	3923	4051
492	3924	4036
493	3939	4034
494	3971	4051
495	3972	4036
496	3974	4021
497	3975	4007
498	3986	4002
499	3988	3988
500	4002	3986
501	4066	4034
502	4067	4019
503	4081	4016
504	4096	4015
505	4111	4014
506	4127	4013
507	4129	3999
508	4142	3996
509	4158	3995
510	4159	3980
511	4161	3966
512	4162	3951
513	4174	3946
514	4189	3945
515	4190	3930
516	4191	3916
517	4204	3912
518	4205	3897
519	4206	3883
520	4208	3868
521	4220	3864
522	4221	3850
523	4222	3835
524	4235	3831
525	4236	3817
526	4237	3803
527	4239	3789
528	4240	3775
529	4241	3761
530	4242	3747
531	4243	3732
532	4250	3724
533	4251	3710
534	4265	3707
535	4281	3706
536	4296	3704
537	4297	3690
538	4299	3676
539	4312	3673
540	4313	3659
541	4314	3645
542	4315	3632
543	4327	3627
544	4343	3626
545	4345	3613
546	4346	3599
547	4358	3595
548	4360	3581
549	4361	3568
550	4362	3555
551	4363	3541
552	4375	3536
553	4406	3547
554	4407	3534
555	4409	3521
556	4422	3517
557	4423	3504
558	4425	3490
559	4426	3477
560	4427	3464
561	4428	3451
562	4430	3438
563	4437	3430
564	4453	3428
565	4469	3426
566	4470	3414
567	4471	3401
568	4472	3388
569	4474	3375
570	4484	3369
571	4485	3356
572	4487	3343
573	4500	3340
574	4532	3350
575	4534	3337
576	4548	3334
577	4563	3331
578	4564	3319
579	4566	3306
580	4567	3293
581	4578	3288
582	4594	3286
583	4596	3274
584	4609	3270
585	4641	3279
586	4657	3276
587	4658	3264
588	4659	3251
589	4673	3247
590	4674	3234
591	4675	3222
592	4688	3218
593	4703	3214
594	4704	3202
595	4719	3199
596	4720	3186
597	4722	3174
598	4723	3161
599	4734	3156
600	4749	3153
601	4751	3141
602	4752	3128
603	4753	3116
604	4755	3104
605	4756	3092
606	4757	3080
607	4765	3072
608	4766	3060
609	4767	3048
610	4780	3043
611	4781	3031
612	4782	3019
613	4783	3007
614	4794	3001
615	4796	2989
616	4797	2977
617	4810	2973
618	4811	2961
619	4813	2949
620	4814	2938
621	4826	2933
622	4842	2930
623	4843	2918
624	4858	2914
625	4859	2903
626	4860	2891
627	4873	2887
628	4875	2875
629	4876	2863
630	4877	2852
631	4889	2847
632	4904	2843
633	4906	2832
634	4920	2828
635	4921	2816
636	4923	2805
637	4924	2794
638	4936	2788
639	4937	2777
640	4951	2773
641	4967	2770
642	4983	2766
643	4999	2763
644	5014	2760
645	5030	2756
646	5031	2745
647	5033	2733
648	5034	2722
649	5045	2717
650	5047	2705
651	5061	2701
652	5062	2690
653	5076	2685
654	5092	2682
655	5093	2671
656	5108	2666
657	5123	2663
658	5125	2652
659	5126	2640
660	5127	2629
661	5128	2618
662	5155	2620
663	5170	2616
664	5172	2605
665	5173	2594
666	5174	2583
667	5174	2571
668	5186	2566
669	5217	2569
670	5233	2565
671	5234	2554
672	5248	2550
673	5250	2539
674	5264	2534
675	5279	2530
676	5295	2526
677	5296	2515
678	5298	2504
679	5299	2493
680	5310	2487
681	5312	2476
682	5326	2472
683	5328	2461
684	5329	2450
685	5342	2445
686	5358	2441
687	5373	2436
688	5405	2439
689	5406	2429
690	5408	2418
691	5420	2412
692	5422	2401
693	5423	2391
694	5424	2380
695	5452	2381
696	5484	2384
697	5485	2373
698	5486	2362
699	5488	2352
700	5499	2345
701	5500	2335
702	5514	2329
703	5515	2319
704	5529	2313
705	5531	2303
706	5532	2292
707	5545	2287
708	5547	2276
709	5548	2266
710	5561	2260
711	5562	2250
712	5576	2244
713	5578	2234
714	5579	2224
715	5580	2213
716	5582	2203
717	5591	2196
718	5592	2185
719	5593	2175
720	5606	2169
721	5622	2164
722	5623	2154
723	5638	2149
724	5639	2139
725	5670	2140
726	5672	2129
727	5673	2119
728	5674	2109
729	5676	2099
